"","AppId","Rank","ReleaseDate","Category","Price","Seller","Developer","Screenshot","Size","StarsAllVersions","RatingsAllVersions","StarsCurrentVersion","RatingsCurrentVersion","Version","UpdatedDate","TopInAppPurchases","dummy_Book","dummy_Business","dummy_Education","dummy_Finance","dummy_Games","dummy_Medical","dummy_Music","dummy_Productivity","equalSD","Bigcom","AppAge","Version_2","UpCyle"
"1303",561912995,107,2012-10-25,"Games",0.99,"Chillingo Ltd","Chillingo Ltd",5,116.35,4.5,3701,4.5,165,"1.1","2012-12-05",4,0,0,0,0,1,0,0,0,1,0,68,1,68
"1304",376374689,108,2010-06-11,"Games",0.99,"JoyBits Co Ltd.","JoyBits Ltd.",5,19.5,4.5,33258,4.5,10652,"1.6.1","2011-03-24",2,0,0,0,0,1,0,0,0,1,0,935,1,935
"1305",469297662,109,2011-10-20,"Games",0.99,"Halfbrick","Halfbrick Studios",5,20.57,4.5,17127,4.5,3384,"1.0.3","2012-05-24",0,0,0,0,0,1,0,0,0,1,0,439,1,439
"1306",431213733,110,2011-06-14,"Games",0.99,"Triniti Interactive Limited","Triniti Interactive Limited",5,98.52,4.5,22153,4.5,1064,"3.2.1","2012-10-06",10,0,0,0,0,1,0,0,0,1,0,567,9,63
"1307",452220947,111,2011-09-08,"Games",0.99,"NaturalMotion Games Limited","NaturalMotion",5,44.95,4.5,17980,4.5,148,"1.2.1","2012-10-25",7,0,0,0,0,1,0,0,0,1,0,481,1,481
"1308",527358348,112,2012-07-19,"Games",2.99,"Subatomic Studios, LLC","Subatomic Studios, LLC",5,46.14,5,10843,5,1251,"1.2","2012-10-24",5,0,0,0,0,1,0,0,0,1,0,166,1,166
"1309",512696593,113,2012-06-07,"Games",0.99,"Turner Broadcasting System, Inc.","Cartoon Network",5,18.39,4.5,9030,4.5,9030,"1"," Jun 07, 2012",0,0,0,0,0,1,0,0,0,0,0,208,1,208
"1310",476500832,114,2011-11-17,"Games",1.99,"Zach Gage","Zach Gage",NA,14.05,4.5,5601,4.5,799,"3.1.3","2012-09-27",0,0,0,0,0,1,0,0,0,1,0,411,9,45.6666666666667
"1311",321255603,115,2009-07-06,"Games",0.99,"Byterun, Ltd","Byterun",5,7.2,4.5,5030,4.5,3623,"3.8","2011-03-17",0,0,0,0,0,1,0,0,0,1,0,1275,9,141.666666666667
"1312",516725989,116,2012-06-26,"Games",2.99,"Zynga Inc.","Zynga",5,28.69,4.5,10024,4,77,"4.17","2012-12-05",10,0,0,0,0,1,0,0,0,1,1,189,16,11.8125
"1313",441719871,117,2011-06-16,"Games",0.99,"Full Fat Productions Ltd","Full Fat",5,47.82,4.5,649,4.5,352,"1.1.0","2011-10-11",0,0,0,0,0,1,0,0,0,1,0,565,1,565
"1314",397951063,118,2010-12-02,"Games",0.99,"NaturalMotion Games Limited","NaturalMotion",5,19.72,4.5,13054,4.5,3350,"1.3.0","2011-09-14",0,0,0,0,0,1,0,0,0,1,0,761,1,761
"1315",488627858,119,2012-02-01,"Games",2.99,"OMGPOP, Inc.","OMGPOP",5,20.08,4.5,348082,4.5,8,"1.11.43","2012-12-07",4,0,0,0,0,1,0,0,0,1,0,335,1,335
"1316",489479624,120,2012-01-12,"Games",0.99,"Portable Pixels Ltd","Portable Pixels",5,18.35,4.5,9824,4.5,109,"4.1","2012-12-01",6,0,0,0,0,1,0,0,0,1,0,355,16,22.1875
